ID,Latitude,Longitude,Date,MODIS_Tile,MOD16A3GF_006_Line_Y_500m,MOD16A3GF_006_Sample_X_500m,MOD16A3GF_006_ET_500m,MOD16A3GF_006_PET_500m,MOD16A3GF_006_ET_QC_500m,MOD16A3GF_006_ET_QC_500m_bitmask,MOD16A3GF_006_ET_QC_500m_ContinuousLayer,MOD16A3GF_006_ET_QC_500m_ContinuousLayer_Description
ABBY,45.76243,-122.33033,2005-01-01,h09v04,1017.0,1117.0,665.6,1105.3,34.0,0b00100010,0b0,Continuous
ABBY,45.76243,-122.33033,2006-01-01,h09v04,1017.0,1117.0,444.4,1106.1,27.0,0b00011011,0b0,Continuous
ABBY,45.76243,-122.33033,2007-01-01,h09v04,1017.0,1117.0,471.8,1085.6,21.0,0b00010101,0b0,Continuous
ABBY,45.76243,-122.33033,2008-01-01,h09v04,1017.0,1117.0,485.0,1018.3,33.0,0b00100001,0b0,Continuous
ABBY,45.76243,-122.33033,2009-01-01,h09v04,1017.0,1117.0,510.4,1107.1,24.0,0b00011000,0b0,Continuous
ABBY,45.76243,-122.33033,2010-01-01,h09v04,1017.0,1117.0,538.0,1017.6,30.0,0b00011110,0b0,Continuous
ABBY,45.76243,-122.33033,2011-01-01,h09v04,1017.0,1117.0,617.6,993.7,45.0,0b00101101,0b0,Continuous
ABBY,45.76243,-122.33033,2012-01-01,h09v04,1017.0,1117.0,571.6,1039.4,37.0,0b00100101,0b0,Continuous
ABBY,45.76243,-122.33033,2013-01-01,h09v04,1017.0,1117.0,535.4,1092.9,37.0,0b00100101,0b0,Continuous
ABBY,45.76243,-122.33033,2014-01-01,h09v04,1017.0,1117.0,536.3,1130.1,20.0,0b00010100,0b0,Continuous
ABBY,45.76243,-122.33033,2015-01-01,h09v04,1017.0,1117.0,510.2,1187.8,31.0,0b00011111,0b0,Continuous
ABBY,45.76243,-122.33033,2016-01-01,h09v04,1017.0,1117.0,568.6,1143.3,43.0,0b00101011,0b0,Continuous
ABBY,45.76243,-122.33033,2017-01-01,h09v04,1017.0,1117.0,599.7,1095.0,37.0,0b00100101,0b0,Continuous
ABBY,45.76243,-122.33033,2018-01-01,h09v04,1017.0,1117.0,608.7,1139.1,29.0,0b00011101,0b0,Continuous
ABBY,45.76243,-122.33033,2019-01-01,h09v04,1017.0,1117.0,649.2,1104.8,38.0,0b00100110,0b0,Continuous
BARR,71.28241,-156.61936,2005-01-01,h12v01,2092.0,2337.0,241.9,253.0,49.0,0b00110001,0b0,Continuous
BARR,71.28241,-156.61936,2006-01-01,h12v01,2092.0,2337.0,241.2,253.1,52.0,0b00110100,0b0,Continuous
BARR,71.28241,-156.61936,2007-01-01,h12v01,2092.0,2337.0,278.3,296.7,55.0,0b00110111,0b0,Continuous
BARR,71.28241,-156.61936,2008-01-01,h12v01,2092.0,2337.0,255.9,268.7,63.0,0b00111111,0b0,Continuous
BARR,71.28241,-156.61936,2009-01-01,h12v01,2092.0,2337.0,235.0,244.9,82.0,0b01010010,0b0,Continuous
BARR,71.28241,-156.61936,2010-01-01,h12v01,2092.0,2337.0,231.2,238.3,64.0,0b01000000,0b0,Continuous
BARR,71.28241,-156.61936,2011-01-01,h12v01,2092.0,2337.0,244.0,253.9,68.0,0b01000100,0b0,Continuous
